"lon","lat","Number","Water.Depth","Latitude","Longitude","Region","Abundance","Species","Genus","Total","ER","a488","bb488","Zeu","PAR","Tvis","a488_buffer","bb488_buffer","Zeu_buffer","PAR_buffer","Tvis_buffer","Tvis_PAR"
685003.632806865,2006348.72616938,915,7,70.66583,161.14917,"Siberian",0,0,0,73,"0",0.295800055682776,0.0294250033894059,6.52000343054533,22.2579979461152,0.0535148376984925,0.295800055682776,0.0294250033894059,6.52000343054533,22.2579979461152,0.0535148376984925,1.19113314757973
-1157468.39432603,1816861.44454291,323,7.1,70.36,-147.5,"Beaufort",0.163002274,0.275862069,0.368421053,1319,"0.25-0.5",0.155700059221999,0.0233750035422418,10.6300033386797,21.6219979159068,0.121403269267986,0.155700059221999,0.0233750035422418,10.6300033386797,21.6219979159068,0.121403269267986,2.62498123509667
-2337380.69413202,-2215766.64498693,342,8,60.97,-46.53,"Baffin",0.961805556,0.571428571,0.5,288,"0.5-0.75",0.0516000618517864,0.00380500403662154,NA,31.0839983653277,0.37004721891326,0.0516000618517864,0.00380500403662154,38.4606908409216,31.0839983653277,0.37004721891326,11.5025471477938
-851908.02061645,2830580.45082901,296,8,63.27,-163.25,"Chukchi",0.166666667,0.285714286,0.285714286,30,"0.25-0.5",0.420900052522484,0.035090003246296,3.56000349670649,25.7539981121663,0.0172995412148321,0.420900052522484,0.035090003246296,3.56000349670649,25.7539981121663,0.0172995412148321,0.445532351788128
-855667.768576131,2819872.71743284,241,8,63.35,-163.12,"Chukchi",0.676470588,0.333333333,0.333333333,68,"0.25-0.5",0.499300050541933,0.0312700033427973,4.85500346776098,26.4759981464595,0.0137171051416772,0.499300050541933,0.0312700033427973,4.85500346776098,26.4759981464595,0.0137171051416772,0.363174050305834
-1530812.13825885,1645045.45823164,185,8,69.53,-137.06,"Beaufort",0.037735849,0.166666667,0.166666667,53,"0-0.25",0.253300056756416,0.0215000035896082,8.27000339142978,27.3339981872123,0.057207639738428,0.253300056756416,0.0215000035896082,8.27000339142978,27.3339981872123,0.057207639738428,1.56371352090488
-1627181.31625123,1508897.87504283,186,8,69.78,-132.84,"Beaufort",0.556440903,0.166666667,0.166666667,753,"0-0.25",0.234700057226291,0.0331950032941677,6.05000344105065,27.1379981779028,0.0454245403675936,0.234700057226291,0.0331950032941677,6.05000344105065,27.1379981779028,0.0454245403675936,1.23273109372783
700418.172923376,2075026.08071586,917,8,70.03972,161.34806,"Siberian",0,0,0,9,"0",0.254900056715996,0.0305150033618702,6.16000343859196,25.9659981222358,0.0439478744903752,0.254900056715996,0.0305150033618702,6.16000343859196,25.9659981222358,0.0439478744903752,1.14115042649333
-1656856.91831698,1394214.90822506,191,8,70.26,-130.08,"Beaufort",0.450413223,0.2,0.2,242,"0-0.25",0.215700057706272,0.0273350034422037,8.69500338193029,25.4199980963022,0.0595916491109295,0.215700057706272,0.0273350034422037,8.69500338193029,25.4199980963022,0.0595916491109295,1.51481960695533
-1122345.85751576,1824347.15395692,324,8,70.47,-148.4,"Beaufort",0.103082852,0.380952381,0.368421053,1038,"0.25-0.5",0.172700058792543,0.0256150034856546,9.86000335589051,21.4839979093522,0.0805479955887454,0.172700058792543,0.0256150034856546,9.86000335589051,21.4839979093522,0.0805479955887454,1.73049296883112
